"rule_id","rule","n_conditions","role","coefficient","importance","workload_pct","n_flagged","errors_caught","clean_flagged","precision","recall","dollar_recall","lift","base_rate"
"rule457","shelter_expenses >= 1574 & utilities >= 978.5 & utilities < 997 & children_i %in% c(""TRUE"")",4,"INCLUDE",58.728,1.226,0,43,14,29,0.326,0.005,0.01,12.59,0.026
"rule423","cert_HH_size_FS_n >= 5.5 & shelter_expenses < 638 & earned_by_hh_size >= 122.7 & earned_by_hh_size < 182.8",4,"INCLUDE",50.75,0.996,0,38,11,27,0.289,0.004,0.008,11.2,0.026
"rule400","cert_HH_size_FS_n >= 1.5 & shelter_expenses >= 2870 & utilities >= 960.5",3,"INCLUDE",11.767,0.222,0,35,10,25,0.286,0.004,0.006,11.05,0.026
"rule342","shelter_expenses >= 1966 & earned_by_hh_size >= 1710",2,"INCLUDE",8.283,0.173,0,43,12,31,0.279,0.005,0.006,10.79,0.026
"rule554","unearned_by_hh_size < 286.8 & total_deductions_by_hh_size >= 41.55 & total_deductions_by_hh_size < 41.92",3,"INCLUDE",59.457,0.803,0,18,5,13,0.278,0.002,0.004,10.74,0.026
"rule192","shelter_expenses >= 1729 & gross_by_hh_size < 443.7 & months_since_cert_n >= 7.5 & earned_by_hh_size >= 110.7",4,"INCLUDE",14.179,0.38,0.1,71,19,52,0.268,0.007,0.013,10.35,0.026
"rule296","cert_HH_size_FS_n >= 3.5 & rawben_rel_max >= 0.5115 & shelter_expenses >= 1822 & shelter_expenses < 1840",4,"INCLUDE",43.687,0.811,0,34,9,25,0.265,0.004,0.008,10.24,0.026
"rule319","cert_HH_size_FS_n >= 3.5 & utilities >= 978.5 & months_since_cert_n >= 6.5 & rawben_rel_max >= 0.7628",4,"INCLUDE",21.318,0.499,0.1,54,14,40,0.259,0.005,0.009,10.03,0.026
"rule58","cert_HH_size_FS_n >= 1.5 & unc_rawben_rel_max >= 1.662 & unc_rawben_rel_max < 1.908",3,"INCLUDE",45.247,1.179,0.1,67,17,50,0.254,0.007,0.009,9.81,0.026
"rule368","shelter_expenses >= 2370 & months_since_cert_n >= 3.5 & utilities >= 916.5 & unearned_by_hh_size < 391.5",4,"INCLUDE",16.97,0.468,0.1,75,19,56,0.253,0.007,0.011,9.8,0.026
"rule563","cert_HH_size_FS_n >= 5.5 & earned_by_hh_size < 270.2 & earned_by_hh_size >= 263",3,"INCLUDE",72.53,1.033,0,20,5,15,0.25,0.002,0.006,9.67,0.026
"rule619","cert_HH_size_FS_n >= 4.5 & rawben_rel_max >= 0.6873 & earned_by_hh_size >= 262.8 & earned_by_hh_size < 272.9",4,"INCLUDE",10.605,0.205,0,37,9,28,0.243,0.004,0.007,9.41,0.026
"rule86","unearned_by_hh_size < 431.8 & unc_rawben_rel_max < -0.04982 & shelter_expenses >= 1632",3,"INCLUDE",34.662,0.78,0.1,50,12,38,0.24,0.005,0.007,9.28,0.026
"rule396","earned_by_hh_size >= 42.83 & unc_rawben_rel_max < 0.9919 & unc_rawben_rel_max >= 0.8803 & shelter_expenses >= 1916",4,"INCLUDE",15.298,0.489,0.1,101,24,77,0.238,0.009,0.014,9.19,0.026
"rule317","cert_HH_size_FS_n >= 3.5 & utilities >= 978.5 & months_since_cert_n >= 6.5",3,"INCLUDE",1.589,0.054,0.1,113,26,87,0.23,0.01,0.012,8.9,0.026
"rule308","shelter_expenses >= 1688 & gross_by_hh_size < 443.4 & rawben_rel_max < 0.9335 & rawben_rel_max >= 0.9111",4,"INCLUDE",29.681,0.655,0,48,11,37,0.229,0.004,0.008,8.86,0.026
"rule198","shelter_expenses >= 1976 & unc_rawben_rel_max < -0.01335",2,"INCLUDE",34.173,0.792,0.1,53,12,41,0.226,0.005,0.007,8.76,0.026
"rule95","cert_HH_size_FS_n >= 2.5 & unc_rawben_rel_max >= 1.428",2,"INCLUDE",7.717,0.195,0.1,63,14,49,0.222,0.005,0.006,8.6,0.026
"rule119","shelter_expenses >= 1528 & gross_by_hh_size < 445.1 & rawben_rel_max < 0.9778 & months_since_cert_n >= 7.5",4,"INCLUDE",1.547,0.055,0.1,127,28,99,0.22,0.011,0.019,8.53,0.026
"rule429","cert_HH_size_FS_n >= 4.5 & rawben_rel_max >= 0.6936 & gross_by_hh_size >= 352.5 & months_since_cert_n >= 7.5",4,"INCLUDE",19.771,0.541,0.1,74,16,58,0.216,0.006,0.011,8.36,0.026
"rule534","shelter_expenses >= 2870 & utilities >= 855",2,"INCLUDE",19.203,0.526,0.1,74,16,58,0.216,0.006,0.009,8.36,0.026
"rule97","cert_HH_size_FS_n >= 5.5 & total_deductions_by_hh_size >= 271.2",2,"INCLUDE",11.177,0.188,0,28,6,22,0.214,0.002,0.004,8.29,0.026
"rule270","earned_by_hh_size >= 101.1 & months_since_cert_n >= 6.5 & shelter_expenses >= 2128 & rawben_rel_max >= 0.7608",4,"INCLUDE",14.015,0.348,0.1,61,13,48,0.213,0.005,0.008,8.24,0.026
"rule523","unearned_by_hh_size < 308.2 & total_deductions_by_hh_size >= 26.62 & total_deductions_by_hh_size < 29.83 & cert_HH_size_FS_n >= 4.5",4,"INCLUDE",27.627,0.505,0,33,7,26,0.212,0.003,0.006,8.2,0.026
"rule531","cert_HH_size_FS_n >= 5.5 & utilities >= 903.5 & months_since_cert_n >= 3.5",3,"INCLUDE",10.361,0.249,0.1,57,12,45,0.211,0.005,0.008,8.14,0.026
"rule516","earned_by_hh_size >= 50.38 & unc_rawben_rel_max < 0.9707 & gross_by_hh_size < 366.8 & shelter_expenses >= 1622",4,"INCLUDE",16.125,0.681,0.2,176,37,139,0.21,0.015,0.025,8.13,0.026
"rule461","cert_HH_size_FS_n >= 3.5 & unc_rawben_rel_max >= 1.18 & total_deductions_by_hh_size < 91.62",3,"INCLUDE",34.498,0.686,0,39,8,31,0.205,0.003,0.006,7.93,0.026
"rule279","shelter_expenses >= 1832 & shelter_expenses < 1838",2,"INCLUDE",30.005,0.597,0,39,8,31,0.205,0.003,0.006,7.93,0.026
"rule436","earned_by_hh_size >= 1.75 & rawben_rel_max < 0.9887 & earned_by_hh_size < 61.5 & gross_by_hh_size < 203.4",4,"INCLUDE",52.823,0.995,0,35,7,28,0.2,0.003,0.007,7.74,0.026
"rule497","shelter_expenses >= 1816 & shelter_expenses < 1836 & total_deductions_by_hh_size < 228.6",3,"INCLUDE",2.763,0.062,0.1,50,10,40,0.2,0.004,0.008,7.74,0.026
"rule361","cert_HH_size_FS_n >= 1.5 & unc_rawben_rel_max >= 1.693",2,"INCLUDE",5.229,0.159,0.1,91,18,73,0.198,0.007,0.009,7.65,0.026
"rule359","earned_by_hh_size >= 90.71 & unc_rawben_rel_max < 0.992 & gross_by_hh_size < 283.7 & shelter_expenses >= 1345",4,"INCLUDE",6.501,0.204,0.1,97,19,78,0.196,0.007,0.013,7.58,0.026
"rule152","children_i %in% c(""TRUE"") & utilities >= 978.5 & utilities < 997",3,"INCLUDE",10.582,0.309,0.1,84,16,68,0.19,0.006,0.011,7.37,0.026
"rule113","cert_HH_size_FS_n >= 5.5 & earned_by_hh_size < 266.2 & earned_by_hh_size >= 254.7",3,"INCLUDE",9.941,0.193,0,37,7,30,0.189,0.003,0.007,7.32,0.026
