"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","count_divisible_by_100 <=    0.50 & medical_deductions >  112.00 & shelter_expenses_by_hh_size > 1490.00 & unc_rawben_rel_max >    3.07","ranger_mtry1",10,7,0.7,0.4417,1,1,1,0.0051,0.0083,0.005,1,1,1,8e-04,0.0014,0.005
"1","medical_deductions > 130.00 & unc_rawben_rel_max >   2.75","ranger_mtry1",13,8,0.6154,0.3926,4,1,0.25,0.0051,0.0083,0.019,5,2,0.4,0.0015,0.0019,0.023
"1","married <=   0.50 & medical_deductions > 132.00 & unc_rawben_rel_max >   2.59 & utilities > 582.00","ranger_mtry1",12,7,0.5833,0.356,1,0,0,0,0,0.005,1,0,0,0,0,0.005
"1","medical_deductions > 112.000 & percent_abawd <=   0.500 & rawben_rel_max >   0.283 & unc_rawben_rel_max >   2.970","ranger_mtry1",12,7,0.5833,0.356,3,1,0.3333,0.0051,0.0083,0.015,4,2,0.5,0.0015,0.0019,0.018
"1","cat_elig > 1.50 & months_since_cert_n > 6.50 & percent_abawd <= 0.50 & unc_rawben_rel_max > 2.59","ranger_mtry1",19,10,0.5263,0.3467,1,0,0,0,0,0.005,1,0,0,0,0,0.005
"1","count_divisible_by_100 <=   0.50 & medical_deductions > 112.00 & unc_rawben_rel_max >   2.75","ranger_mtry1",15,8,0.5333,0.3331,2,1,0.5,0.0051,0.0083,0.01,3,2,0.6667,0.0015,0.0019,0.014
"1","months_since_cert_n >   4.00 & shelter_expenses_by_hh_size <= 642.00 & unc_rawben_rel_max >   1.93","ranger_mtry1",15,8,0.5333,0.3331,2,0,0,0,0,0.01,2,0,0,0,0,0.009
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.49 & utilities < 288.00","xgboost",102,41,0.402,0.3256,46,20,0.4348,0.1026,0.1064,0.223,49,23,0.4694,0.0178,0.0223,0.225
"1","shelter_expenses_by_hh_size < 1660.00 & total_deductions_by_hh_size >= 1300.00 & unc_rawben_rel_max >=    2.45 & utilities >=  676.00","xgboost",23,11,0.4783,0.3185,7,0,0,0,0,0.034,8,1,0.125,8e-04,0.0014,0.037
"1","medical_deductions >  130.00 & shelter_expenses_by_hh_size >  370.00 & shelter_expenses_by_hh_size <= 2020.00 & unc_rawben_rel_max >    2.58","ranger_mtry1",11,6,0.5455,0.3151,6,3,0.5,0.0154,0.025,0.029,7,4,0.5714,0.0031,0.0048,0.032
"1","medical_deductions >= 132.00 & unc_rawben_rel_max >=   2.45","xgboost",19,9,0.4737,0.3006,7,3,0.4286,0.0154,0.025,0.034,8,4,0.5,0.0031,0.0048,0.037
"1","count_divisible_by_100 <   1.00 & elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.24 & utilities < 284.00","xgboost",132,47,0.3561,0.291,64,24,0.375,0.1231,0.1373,0.31,67,27,0.403,0.0209,0.0276,0.308
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.33 & utilities < 288.00","xgboost",137,48,0.3504,0.2868,58,22,0.3793,0.1128,0.1206,0.281,61,25,0.4098,0.0193,0.0247,0.28
"1","count_divisible_by_100 > 0.50 & count_divisible_by_100 <= 1.50 & unc_rawben_rel_max > 2.66","ranger_mtry1",12,6,0.5,0.2855,4,1,0.25,0.0051,0.0083,0.019,4,1,0.25,8e-04,0.0014,0.018
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.55 & utilities < 291.00","xgboost",90,32,0.3556,0.2779,40,19,0.475,0.0974,0.0981,0.194,43,22,0.5116,0.017,0.0209,0.198
"1","months_since_cert_n >=   7.00 & unc_rawben_rel_max >=   1.94 & utilities < 688.00","xgboost",143,48,0.3357,0.2743,63,19,0.3016,0.0974,0.0971,0.305,65,21,0.3231,0.0162,0.0191,0.299
"1","married <=   0.50 & unc_rawben_rel_max >   2.59 & utilities > 582.00","ranger_mtry1",70,25,0.3571,0.2699,32,3,0.0938,0.0154,0.0149,0.155,34,5,0.1471,0.0039,0.0054,0.156
"1","count_divisible_by_100 >    0.5 & expedited_i <=    0.5 & percent_abawd <=    0.5 & total_deductions_by_hh_size > 1530.0","ranger_mtry1",10,5,0.5,0.2693,15,1,0.0667,0.0051,0.0083,0.073,15,1,0.0667,8e-04,0.0014,0.069
"1","shelter_expenses_by_hh_size < 1010.00 & unc_rawben_rel_max >=    2.15 & utilities >=  385.00 & utilities <  600.00","xgboost",24,10,0.4167,0.268,9,4,0.4444,0.0205,0.0186,0.044,10,5,0.5,0.0039,0.0037,0.046
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 751.00 & unc_rawben_rel_max >=   1.69 & utilities < 551.00","xgboost",119,39,0.3277,0.2615,48,20,0.4167,0.1026,0.1079,0.232,50,22,0.44,0.017,0.0212,0.23
"1","months_since_cert_n >    6.50 & total_deductions_by_hh_size > 1790.00 & unc_rawben_rel_max >    2.96","ranger_mtry1",13,6,0.4615,0.2611,5,2,0.4,0.0103,0.0123,0.024,5,2,0.4,0.0015,0.0021,0.023
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.24 & utilities < 284.00","xgboost",150,48,0.32,0.261,72,25,0.3472,0.1282,0.1438,0.348,75,28,0.3733,0.0217,0.0287,0.345
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.23 & utilities < 291.00","xgboost",177,55,0.3107,0.2567,77,26,0.3377,0.1333,0.1521,0.373,80,29,0.3625,0.0224,0.0301,0.368
"1","expedited_i <=   0.50 & medical_deductions <= 130.00 & unc_rawben_rel_max >   1.93 & utilities <= 280.00","ranger_mtry1",25,10,0.4,0.2564,11,4,0.3636,0.0205,0.0238,0.053,11,4,0.3636,0.0031,0.004,0.051
"1","months_since_cert_n >=  13.000 & rawben_rel_max >=   0.966 & unc_rawben_rel_max >=   1.860 & utilities < 415.000","xgboost",25,10,0.4,0.2564,12,4,0.3333,0.0205,0.0212,0.058,13,5,0.3846,0.0039,0.005,0.06
"1","cat_elig > 1.5 & cat_elig <= 2.5 & expedited_i <= 0.5 & unc_rawben_rel_max > 2.7","ranger_mtry1",22,9,0.4091,0.256,1,0,0,0,0,0.005,1,0,0,0,0,0.005
"1","medical_deductions >= 113.000 & rawben_rel_max >=   0.663 & unc_rawben_rel_max >=   2.450 & utilities >=  91.000","xgboost",22,9,0.4091,0.256,7,3,0.4286,0.0154,0.025,0.034,8,4,0.5,0.0031,0.0048,0.037
"1","count_divisible_by_100 <=   1.50 & unc_rawben_rel_max >   1.93 & utilities <= 286.00","ranger_mtry1",41,15,0.3659,0.254,19,6,0.3158,0.0308,0.0371,0.092,20,7,0.35,0.0054,0.0077,0.092
"1","cat_elig > 1.50 & elderly_disabled_i > 0.50 & unc_rawben_rel_max > 2.58","ranger_mtry1",38,14,0.3684,0.2525,2,0,0,0,0,0.01,2,0,0,0,0,0.009
"1","elderly_disabled_i >=   1.0 & total_deductions_by_hh_size < 315.0 & unc_rawben_rel_max >=   1.3","xgboost",45,16,0.3556,0.2494,15,5,0.3333,0.0256,0.0392,0.073,15,5,0.3333,0.0039,0.0067,0.069
"1","expedited_i <=    0.50 & shelter_expenses_by_hh_size > 1410.00 & unc_rawben_rel_max >    2.65","ranger_mtry1",62,21,0.3387,0.2484,35,8,0.2286,0.041,0.0566,0.169,37,10,0.2703,0.0077,0.0124,0.17
"1","shelter_expenses_by_hh_size < 1660.00 & total_deductions_by_hh_size >= 1300.00 & unc_rawben_rel_max >=    2.45","xgboost",59,20,0.339,0.2467,25,4,0.16,0.0205,0.0334,0.121,28,7,0.25,0.0054,0.009,0.129
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.49 & unc_rawben_rel_max <   1.94 & utilities < 385.00","xgboost",119,37,0.3109,0.246,59,26,0.4407,0.1333,0.148,0.285,61,28,0.459,0.0217,0.028,0.28
"1","expedited_i <=   0.50 & homeless <=   0.50 & shelter_expenses_by_hh_size <= 961.00 & unc_rawben_rel_max >   1.93","ranger_mtry1",120,37,0.3083,0.2439,57,19,0.3333,0.0974,0.0888,0.276,60,22,0.3667,0.017,0.0171,0.276
"1","cat_elig > 1.5 & percent_abawd <= 0.5 & unc_rawben_rel_max > 2.6","ranger_mtry1",36,13,0.3611,0.2434,2,0,0,0,0,0.01,2,0,0,0,0,0.009
"1","months_since_cert_n > 6.50 & unc_rawben_rel_max > 3.05","ranger_mtry1",20,8,0.4,0.2424,7,2,0.2857,0.0103,0.0123,0.034,7,2,0.2857,0.0015,0.0021,0.032
"1","months_since_cert_n >=   15.00 & total_deductions_by_hh_size >= 1140.00 & unc_rawben_rel_max >=    2.45","xgboost",33,12,0.3636,0.2411,7,0,0,0,0,0.034,8,1,0.125,8e-04,0.0014,0.037
"1","medical_deductions < 132.00 & months_since_cert_n >=  12.00 & unc_rawben_rel_max >=   2.45 & utilities >= 757.00","xgboost",14,6,0.4286,0.2406,4,0,0,0,0,0.019,5,1,0.2,8e-04,0.0014,0.023
"1","elderly_disabled_i >=   1.00 & unc_rawben_rel_max >=   1.33 & unc_rawben_rel_max <   1.69 & utilities < 288.00","xgboost",71,23,0.3239,0.2405,30,8,0.2667,0.041,0.0456,0.145,31,9,0.2903,0.007,0.0092,0.142
"1","expedited_i <=   0.50 & shelter_expenses_by_hh_size <= 961.00 & unc_rawben_rel_max >   1.93","ranger_mtry1",127,38,0.2992,0.2371,58,19,0.3276,0.0974,0.0888,0.281,61,22,0.3607,0.017,0.0171,0.28
"1","shelter_expenses_by_hh_size >= 1290.00 & unc_rawben_rel_max >=    2.45 & utilities >=  583.00","xgboost",72,23,0.3194,0.237,32,3,0.0938,0.0154,0.0149,0.155,34,5,0.1471,0.0039,0.0054,0.156
"1","cat_elig <    2.00 & total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15 & utilities <  651.00","xgboost",65,21,0.3231,0.2364,39,11,0.2821,0.0564,0.0575,0.189,41,13,0.3171,0.0101,0.0109,0.188
"1","months_since_cert_n >    8.50 & total_deductions_by_hh_size <= 1000.00 & unc_rawben_rel_max >    1.93","ranger_mtry1",84,26,0.3095,0.2336,43,11,0.2558,0.0564,0.0578,0.208,45,13,0.2889,0.0101,0.0117,0.207
"1","months_since_cert_n >=    9.00 & total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15","xgboost",55,18,0.3273,0.2334,27,6,0.2222,0.0308,0.0274,0.131,27,6,0.2222,0.0046,0.0047,0.124
"1","months_since_cert_n <   18.00 & shelter_expenses_by_hh_size >= 1290.00 & unc_rawben_rel_max >=    2.45 & utilities >=  583.00","xgboost",59,19,0.322,0.2317,30,3,0.1,0.0154,0.0149,0.145,31,4,0.129,0.0031,0.0039,0.142
"1","unc_rawben_rel_max >=   2.45 & utilities >= 583.00","xgboost",90,27,0.3,0.2273,38,4,0.1053,0.0205,0.0181,0.184,40,6,0.15,0.0046,0.0059,0.184
"1","elderly_disabled_i >=   1.00 & total_deductions_by_hh_size < 943.00 & unc_rawben_rel_max >=   1.69 & utilities < 601.00","xgboost",208,57,0.274,0.2263,89,35,0.3933,0.1795,0.1897,0.431,93,39,0.4194,0.0302,0.0368,0.427
"1","shelter_expenses_by_hh_size >= 279.00 & unc_rawben_rel_max >=   2.45 & utilities >= 580.00","xgboost",91,27,0.2967,0.2247,38,4,0.1053,0.0205,0.0181,0.184,40,6,0.15,0.0046,0.0059,0.184
"1","elderly_disabled_i >=   1.0 & unc_rawben_rel_max >=   1.3 & utilities < 366.0","xgboost",218,59,0.2706,0.2242,111,41,0.3694,0.2103,0.2371,0.537,114,44,0.386,0.034,0.0445,0.524
"1","shelter_expenses_by_hh_size < 1230.00 & unc_rawben_rel_max >=    1.93 & utilities <  577.00","xgboost",135,38,0.2815,0.2226,81,24,0.2963,0.1231,0.1341,0.392,86,29,0.3372,0.0224,0.0268,0.395
"1","expedited_i <=   0.500 & rawben_rel_max >   0.299 & unc_rawben_rel_max >   1.930 & utilities <= 684.000","ranger_mtry1",224,60,0.2679,0.2222,113,29,0.2566,0.1487,0.1661,0.547,117,33,0.2821,0.0255,0.0319,0.538
"1","months_since_cert_n >  6.50 & months_since_cert_n <= 28.50 & unc_rawben_rel_max >  1.95","ranger_mtry1",220,59,0.2682,0.2221,111,22,0.1982,0.1128,0.1108,0.537,117,28,0.2393,0.0217,0.0259,0.538
"1","married <=   0.50 & medical_deductions <= 132.00 & unc_rawben_rel_max >   2.59 & utilities > 582.00","ranger_mtry1",58,18,0.3103,0.2208,31,3,0.0968,0.0154,0.0149,0.15,33,5,0.1515,0.0039,0.0054,0.152
"1","total_deductions_by_hh_size < 1140.00 & unc_rawben_rel_max >=    2.15 & utilities <  651.00","xgboost",81,24,0.2963,0.2205,39,11,0.2821,0.0564,0.0575,0.189,41,13,0.3171,0.0101,0.0109,0.188
"1","months_since_cert_n >=  12.00 & months_since_cert_n <  15.00 & total_deductions_by_hh_size < 943.00 & unc_rawben_rel_max >=   1.94","xgboost",12,5,0.4167,0.22,3,1,0.3333,0.0051,0.0083,0.015,3,1,0.3333,8e-04,0.0014,0.014
"1","cat_elig <    2.00 & shelter_expenses_by_hh_size < 1790.00 & unc_rawben_rel_max >=    1.93 & utilities <  723.00","xgboost",198,53,0.2677,0.2193,126,32,0.254,0.1641,0.1766,0.61,136,42,0.3088,0.0325,0.0411,0.625
