"hh_size","step","rule_added","n_flagged","workload_pct","precision","recall_obj","recall","dollar_recall","errors_caught","error_tag"
"1",1,"rawearn >= 526 & months_since_cert_n >= 3.5 & rawben_rel_max < 0.8274 & expedited_i %in% c(""TRUE"")",43,0.3615,0.6047,0.0381,0.0328,0.0381,26,"earned_overissuance"
"1",2,"rawgross < 17 & shelter_expenses >= 57 & months_since_cert_n >= 4.5 & utilities < 73",100,0.8407,0.56,0.0854,0.0706,0.0854,56,"earned_overissuance"
"1",3,"percent_abawd >= 0.5 & months_since_cert_n >= 9.5 & total_deductions >= 529.3",148,1.2442,0.5608,0.1218,0.1047,0.1218,83,"earned_overissuance"
"1",4,"unc_rawben_rel_max >= 1.755 & utilities < 465.5 & months_since_cert_n >= 2.5 & utilities >= 401",204,1.715,0.5441,0.1654,0.14,0.1654,111,"earned_overissuance"
"1",5,"months_since_cert_n < 34.5 & total_deductions < 1457 & shelter_expenses >= 1754 & percent_abawd >= 0.5",236,1.984,0.5297,0.1871,0.1576,0.1871,125,"earned_overissuance"
"1",6,"rawearn >= 1095 & months_since_cert_n >= 10.5",260,2.1858,0.5231,0.2025,0.1715,0.2025,136,"earned_overissuance"
"1",7,"rawearn < 2090 & unc_rawben_rel_max < 0.976 & expedited_i %in% c(""TRUE"") & rawearn >= 36.5",299,2.5137,0.5184,0.2244,0.1955,0.2244,155,"earned_overissuance"
"1",8,"months_since_cert_n >= 4.5 & rawearn >= 50.5 & rawben_rel_max < 0.9737 & rawben_rel_max >= 0.4124",447,3.7579,0.5034,0.2979,0.2837,0.2979,225,"earned_overissuance"
"1",9,"shelter_expenses < 2118 & shelter_expenses >= 1135 & rawgross < 359 & months_since_cert_n >= 6",498,4.1866,0.488,0.3248,0.3064,0.3248,243,"earned_overissuance"
"1",10,"rawgross >= 17 & unc_rawben_rel_max < 0.974 & rawben_rel_max >= 0.7966 & rawearn >= 2.5",569,4.7835,0.471,0.3534,0.338,0.3534,268,"earned_overissuance"
"1",11,"unc_rawben_rel_max >= 1.673 & months_since_cert_n >= 4.5 & total_deductions < 685.5 & total_deductions >= 659",616,5.1786,0.4545,0.3739,0.3531,0.3739,280,"earned_overissuance"
"1",12,"utilities < 327 & unc_rawben_rel_max >= 1.541 & count_divisible_by_100 < 0.5 & shelter_expenses < 912",712,5.9857,0.4354,0.4122,0.3909,0.4122,310,"earned_overissuance"
"1",13,"shelter_expenses >= 2005 & months_since_cert_n >= 7.5",747,6.2799,0.4284,0.4262,0.4035,0.4262,320,"earned_overissuance"
"1",14,"rawgross < 0.5 & months_since_cert_n >= 12.5 & elderly_disabled_i %in% c(""FALSE"")",814,6.8432,0.4128,0.4517,0.4237,0.4517,336,"earned_overissuance"
"1",15,"unc_rawben_rel_max >= 1.813 & months_since_cert_n >= 4.5 & utilities < 634.5 & utilities >= 448.5",854,7.1795,0.4063,0.4664,0.4376,0.4664,347,"earned_overissuance"
"1",16,"rawunearn < 720 & rawben_rel_max < 0.8945 & rawearn >= 11 & rawearn < 688.5",880,7.3981,0.4034,0.4752,0.4477,0.4752,355,"earned_overissuance"
"1",17,"rawunearn < 30 & cat_elig >= 0.5 & unc_rawben_rel_max < 0.96 & utilities < 48.5",972,8.1715,0.3879,0.5024,0.4754,0.5024,377,"earned_overissuance"
"2",1,"total_deductions < 996.1 & shelter_expenses >= 1614 & rawearn >= 1084",81,1.0365,0.3951,0.0711,0.0614,0.0711,32,"earned_overissuance"
"2",2,"shelter_expenses < 2641 & unc_rawben_rel_max >= 1.397 & months_since_cert_n >= 7.5 & shelter_expenses >= 883.5",156,1.9962,0.3526,0.1373,0.1056,0.1373,55,"earned_overissuance"
"2",3,"rawearn < 481.5 & unc_rawben_rel_max >= 1.301 & utilities < 339.5 & utilities >= 12.5",258,3.3013,0.3101,0.2013,0.1536,0.2013,80,"earned_overissuance"
"2",4,"rawben_rel_max >= 0.8823 & unc_rawben_rel_max < 0.9826 & rawearn >= 2.5",440,5.6302,0.275,0.2889,0.2322,0.2889,121,"earned_overissuance"
"2",5,"unc_rawben_rel_max >= 1.437 & utilities < 691.5 & married < 0.5 & total_deductions >= 612.5",607,7.7671,0.2521,0.3601,0.2937,0.3601,153,"earned_overissuance"
"2",6,"utilities < 360.5 & rawearn >= 563 & months_since_cert_n >= 3.5",849,10.8637,0.2497,0.4532,0.4069,0.4532,212,"earned_overissuance"
"2",7,"utilities < 611 & unc_rawben_rel_max < 1.326 & shelter_expenses >= 1526 & rawearn >= 1132",928,11.8746,0.2457,0.4816,0.4376,0.4816,228,"earned_overissuance"
"2",8,"unc_rawben_rel_max >= 1.487 & months_since_cert_n >= 1.5 & utilities < 660.5",1006,12.8727,0.2376,0.5019,0.4587,0.5019,239,"earned_overissuance"
"3",1,"shelter_expenses < 1170 & unc_rawben_rel_max >= 1.34 & utilities < 327",33,0.4814,0.3333,0.047,0.0241,0.047,11,"earned_overissuance"
"3",2,"shelter_expenses >= 1056 & total_deductions < 630.9 & rawgross < 134.5 & utilities >= 632.5",78,1.1379,0.3077,0.0883,0.0525,0.0883,24,"earned_overissuance"
"3",3,"utilities >= 606.5 & rawearn >= 1050 & rawgross < 1317",123,1.7943,0.3089,0.1269,0.0832,0.1269,38,"earned_overissuance"
"3",4,"total_deductions < 1797 & cat_elig >= 1.5 & unc_rawben_rel_max >= 1.253 & months_since_cert_n >= 3.5",196,2.8592,0.2857,0.1829,0.1225,0.1829,56,"earned_overissuance"
